                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.485,                 3.5134,                 1.4739,                0.51102,                0.60656,                0.50109,                0.25791,                 1.2648,                 2.4461,                 1.2564,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.5709,                 2.0321,                  1.581,                0.19048,                0.19672,                0.07461,                0.03359,                 3.3813,                 71.806,                 7.4634,               0.001291,               0.001291,               0.001291
                      3,                 1.5948,                 1.8668,                 1.5996,                0.08371,                0.13115,                0.03199,                0.01229,                 2.9834,                 11.171,                 3.7849,              0.0019052,              0.0019052,              0.0019052
                      4,                 1.5683,                  1.821,                 1.6137,                0.05646,                0.19672,                0.06042,                0.01548,                 2.3531,                  28.95,                 3.0333,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5334,                 1.7775,                 1.5902,                0.34775,                0.36066,                0.30547,                0.13971,                 1.9378,                 9.4425,                 2.0344,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.532,                  1.746,                  1.609,                0.42881,                0.45902,                0.44566,                0.26105,                 1.6331,                 3.8306,                 1.4953,               0.001802,               0.001802,               0.001802
                      7,                 1.4892,                 1.6117,                 1.5531,                0.66403,                0.72131,                0.76612,                0.48893,                 1.2917,                 2.1224,                 1.3706,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4937,                 1.6324,                 1.5633,                0.71105,                0.68852,                0.75799,                 0.5242,                 1.2404,                 1.8699,                 1.2238,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3646,                 1.4522,                 1.4628,                0.64104,                0.52459,                0.50602,                0.22915,                 2.1779,                 2.3004,                 2.2235,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3675,                 1.4343,                 1.4644,                0.50959,                  0.477,                0.48368,                0.22865,                 1.9219,                 2.1635,                 1.8161,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.351,                  1.409,                 1.4198,                0.71017,                0.68293,                0.80674,                0.50146,                 1.3921,                 1.4086,                 1.4318,               0.001604,               0.001604,               0.001604
                     12,                 1.3036,                 1.3622,                 1.4171,                0.70059,                 0.7541,                 0.7841,                0.52837,                 1.0659,                 1.2632,                 1.1358,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2315,                 1.2304,                  1.368,                0.91902,                0.74428,                0.86192,                0.61156,                 1.0235,                  1.093,                 1.0907,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1746,                  1.179,                 1.3397,                0.75628,                0.76312,                0.78455,                0.54074,                 1.2994,                 1.2274,                 1.3148,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1644,                 1.1805,                 1.3199,                0.88805,                0.80328,                0.89723,                0.68708,                0.95904,                0.76852,                 1.1095,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1512,                 1.0873,                 1.3195,                0.95837,                0.75484,                0.86482,                0.65064,                0.89165,                 0.9339,                 1.0218,               0.001406,               0.001406,               0.001406
                     17,                 1.1227,                  1.116,                 1.2976,                0.83962,                0.90164,                0.93433,                0.72717,                0.89454,                0.74202,                0.99727,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1105,                 1.0943,                 1.3098,                 0.8738,                 0.7946,                 0.8703,                0.62405,                0.99925,                0.90197,                 1.0869,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0934,                 1.0387,                 1.2775,                0.91265,                0.85649,                0.92694,                0.67306,                 1.0188,                0.86641,                 1.0579,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0088,                0.94556,                  1.218,                0.86336,                0.85246,                0.91084,                0.71611,                0.88978,                0.74591,                 1.0278,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0467,                0.96829,                 1.2512,                0.88674,                0.86885,                 0.9326,                0.69272,                0.90182,                0.77278,                 1.0052,               0.001208,               0.001208,               0.001208
                     22,                 1.0332,                0.92987,                 1.2393,                0.96289,                0.91803,                0.96949,                 0.7157,                0.96588,                0.67616,                0.99738,              0.0011684,              0.0011684,              0.0011684
                     23,                0.96664,                0.90589,                 1.1945,                0.92434,                0.88525,                0.95343,                0.73817,                0.86632,                0.67182,                 1.0235,              0.0011288,              0.0011288,              0.0011288
                     24,                0.96255,                0.89771,                 1.1973,                0.96229,                0.83661,                0.93918,                0.75717,                0.80956,                0.64916,                0.97363,              0.0010892,              0.0010892,              0.0010892
                     25,                0.96677,                0.87699,                 1.2099,                 0.9002,                0.88723,                0.91797,                0.68088,                 1.0172,                0.75408,                 1.0577,              0.0010496,              0.0010496,              0.0010496
                     26,                0.90545,                0.81876,                 1.1453,                0.94798,                0.86885,                0.93708,                0.73148,                0.82612,                0.69554,                0.99695,                0.00101,                0.00101,                0.00101
                     27,                 0.8814,                 0.7999,                 1.1485,                0.95061,                0.86885,                0.95499,                0.77549,                0.82437,                0.62527,                0.96817,              0.0009704,              0.0009704,              0.0009704
                     28,                0.91532,                0.82667,                 1.1618,                0.90765,                0.95082,                0.96703,                0.79859,                0.74579,                0.61111,                0.94317,              0.0009308,              0.0009308,              0.0009308
                     29,                0.86721,                0.78087,                 1.1384,                0.98249,                0.91969,                0.97728,                0.81512,                0.66831,                0.50798,                 0.8904,              0.0008912,              0.0008912,              0.0008912
                     30,                0.88349,                0.81245,                 1.1443,                0.97729,                0.91803,                0.96693,                0.76921,                 0.7949,                0.60693,                0.95475,              0.0008516,              0.0008516,              0.0008516
                     31,                0.84704,                0.78012,                 1.1277,                0.93149,                0.89167,                0.93433,                0.70056,                0.88726,                0.66988,                  0.994,               0.000812,               0.000812,               0.000812
                     32,                0.81351,                0.73747,                 1.1122,                0.94999,                0.93417,                0.96196,                0.81654,                0.67469,                0.56573,                0.90885,              0.0007724,              0.0007724,              0.0007724
                     33,                0.84808,                 0.7647,                 1.1438,                0.95066,                0.94763,                0.95361,                0.82574,                0.65503,                0.57196,                0.88393,              0.0007328,              0.0007328,              0.0007328
                     34,                0.77802,                0.68521,                 1.1023,                0.96658,                0.94822,                0.97496,                0.81489,                0.70726,                0.52617,                 0.9168,              0.0006932,              0.0006932,              0.0006932
                     35,                0.79581,                0.70455,                 1.1079,                0.99709,                0.95082,                0.98101,                0.79974,                0.70678,                0.50673,                0.89877,              0.0006536,              0.0006536,              0.0006536
                     36,                0.76423,                0.66965,                 1.0857,                0.98674,                0.91803,                0.97398,                0.80922,                0.67009,                0.49203,                0.88848,               0.000614,               0.000614,               0.000614
                     37,                0.79518,                0.66894,                 1.1008,                      1,                0.94046,                0.97926,                0.80661,                0.69369,                0.46197,                0.89839,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.7473,                0.63947,                 1.0697,                0.98303,                0.94982,                0.96339,                0.82654,                0.59487,                0.45308,                0.85419,              0.0005348,              0.0005348,              0.0005348
                     39,                0.74343,                0.63688,                 1.0806,                0.99703,                0.91803,                0.95954,                0.83139,                0.64578,                0.46921,                0.84747,              0.0004952,              0.0004952,              0.0004952
                     40,                0.71573,                0.61574,                 1.0544,                0.96926,                0.91803,                 0.9771,                0.82552,                 0.6853,                0.43227,                0.85915,              0.0004556,              0.0004556,              0.0004556
                     41,                0.65081,                0.51522,                 1.0432,                0.98327,                0.96378,                0.98193,                0.81271,                0.69187,                0.42151,                0.86028,               0.000416,               0.000416,               0.000416
                     42,                0.64245,                 0.5031,                 1.0305,                 0.9516,                0.98361,                0.98437,                0.87116,                0.57154,                0.38953,                0.81909,              0.0003764,              0.0003764,              0.0003764
                     43,                0.61594,                0.46639,                 1.0126,                0.98277,                0.93509,                0.97841,                0.84194,                0.58856,                0.42579,                0.84077,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.5629,                0.43825,                0.99192,                0.96666,                0.95066,                0.96966,                0.85759,                0.58956,                0.46128,                 0.8487,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.5736,                0.44697,                0.98664,                0.99777,                0.91803,                0.96056,                0.85052,                 0.5727,                0.48749,                 0.8424,              0.0002576,              0.0002576,              0.0002576
                     46,                0.56515,                0.44351,                 0.9898,                      1,                0.94766,                0.98293,                0.86083,                0.56835,                 0.3859,                0.81772,               0.000218,               0.000218,               0.000218
                     47,                0.56734,                0.41268,                0.98947,                 0.9833,                0.96547,                0.98172,                0.87502,                0.56034,                0.38197,                0.82578,              0.0001784,              0.0001784,              0.0001784
                     48,                0.52109,                 0.4214,                0.97424,                0.99015,                0.91803,                0.97969,                0.86578,                0.58583,                0.41649,                0.84335,              0.0001388,              0.0001388,              0.0001388
                     49,                0.51221,                0.38936,                0.96491,                0.98177,                0.93443,                0.98112,                0.87389,                0.57997,                0.43071,                0.84188,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.50082,                0.38539,                0.95583,                0.97928,                0.93443,                 0.9803,                0.87077,                0.57467,                0.42796,                0.83422,               5.96e-05,               5.96e-05,               5.96e-05
