                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4685,                  3.506,                 1.4553,                0.24514,                0.24491,                0.15151,                0.07709,                 1.4228,                 2.6857,                 1.3506,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.5588,                 1.9788,                  1.529,                0.01099,                0.21311,                0.00476,                0.00112,                 3.4537,                 328.93,                 5.3017,               0.001291,               0.001291,               0.001291
                      3,                 1.6158,                 1.8574,                 1.5957,                0.29508,                0.29508,                0.23276,                0.08079,                 2.0967,                 41.556,                 2.4387,              0.0019052,              0.0019052,              0.0019052
                      4,                 1.6654,                 1.8035,                 1.6033,                 0.2251,                0.16673,                0.16905,                0.05863,                 2.5444,                 11.661,                 2.7631,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6227,                  1.814,                 1.5773,                0.28406,                0.39029,                0.21756,                0.07151,                 2.8743,                 2.7873,                 3.5559,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5454,                 1.6911,                 1.5551,                0.66499,                 0.5082,                0.63296,                0.33589,                 1.5587,                 2.8968,                  1.536,               0.001802,               0.001802,               0.001802
                      7,                 1.4567,                 1.6271,                 1.5011,                0.73911,                 0.7541,                0.79715,                0.52826,                 1.2135,                 1.8421,                  1.271,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4331,                 1.5112,                 1.4695,                0.69492,                0.62295,                0.62278,                0.37081,                 1.6111,                 2.1986,                 1.4999,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3965,                 1.4346,                 1.4296,                0.57353,                 0.7055,                0.65851,                0.33478,                 1.5823,                  1.551,                 1.4698,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3746,                 1.4874,                 1.4365,                0.82189,                0.59016,                0.73338,                0.45408,                 1.4356,                 1.7239,                 1.3253,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2938,                 1.3282,                 1.3796,                0.93946,                0.76325,                0.86466,                0.62807,                 1.0574,                 1.0805,                 1.1272,               0.001604,               0.001604,               0.001604
                     12,                 1.2473,                 1.2903,                 1.3374,                0.93124,                0.83607,                0.92308,                0.68403,                0.92829,                0.92132,                0.99933,              0.0015644,              0.0015644,              0.0015644
